Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000666350210756228,-0.00233647748253474,-0.0721450971913769,0,0,0,1.51650893419613,0.00802866823936534,-5.2140410997643E-06,3.88552418406049E-06,0.00806034512163369,-1.47248510067451E-05,0.0116698719091758,0,0,0,0,0,0,package://doritos_mk2/meshes/base_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/base_link.STL,,fixed_base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
stepper_link_1,-0.0441699026757919,0.000734864413863612,-0.0165926967109177,0,0,0,0.0370136582432435,3.12123829676031E-06,5.08568627155768E-07,-6.16706273441E-07,3.36809139584535E-05,1.02602737996819E-08,3.50908182309386E-05,0,0,0,0,0,0,package://doritos_mk2/meshes/stepper_link_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/stepper_link_1.STL,,stepper_link-1,Coordinate System2,Axis_stepper_joint_1,stepper_joint_1,continuous,0.0452224318643407,-0.0443275496308621,-0.0579999999999925,1.57079632679489,0,2.0943951023932,base_link,0,0,1,,,,,,,,,,,,
right_link_1,0.0528663323357675,-0.0571415921325875,0.00111840945299271,0,0,0,0.0096597651133856,2.59571055938518E-06,2.19926971307666E-06,-1.50945318617451E-08,2.25292290559056E-06,1.66732261686969E-08,4.67333119708773E-06,0,0,0,0,0,0,package://doritos_mk2/meshes/right_link_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/right_link_1.STL,,lower_link-4,Coordinate System5,Axis_right_joint_2,right_joint_1,continuous,-0.0799889341570513,0.00133079453105545,0.00903081744789805,0,0,0,stepper_link_1,0.731856335636987,0.677545199908743,0.072930145129584,,,,,,,,,,,,
buffer_link_1,1.56565538311781E-10,1.44678713454027E-10,0.000159987489600055,0,0,0,0.00102265385859043,1.59789665404754E-08,-1.17549435082229E-38,-4.13590306276748E-25,1.59789665404754E-08,0,1.59789665404754E-08,0,0,0,0,0,0,package://doritos_mk2/meshes/buffer_link_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/buffer_link_1.STL,,buffer-5,Coordinate System11,Axis_buffer_joint_1,buffer_joint_1,continuous,0.105732013812519,-0.114291792145172,0.000785813818592801,0,0,0,right_link_1,0,1,0,,,,,,,,,,,,
left_link_1,0.0528656149880057,-0.057150177472719,-0.000332595362884797,0,0,0,0.00965976648912766,2.59568246111661E-06,2.19927175065307E-06,-1.50882724982191E-08,2.25295068761005E-06,1.66662643455242E-08,4.67333103108257E-06,0,0,0,0,0,0,package://doritos_mk2/meshes/left_link_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/left_link_1.STL,,lower_link-6,Coordinate System6,Axis_left_joint_1,left_joint_1,continuous,-0.0799889339060277,0.00133079848229811,-0.0430308313919701,0,0,0,stepper_link_1,0.731867521824822,0.677554561719078,0.0727306427282319,,,,,,,,,,,,
gripper_link,0.0341024384595902,-0.0263807695753204,0.0250790248173186,0,0,0,0.105456847213634,3.33718782111917E-05,3.52583430747584E-07,6.80255114611308E-06,5.47682158648942E-05,7.26963144346707E-07,4.1031797217604E-05,0,0,0,0,0,0,package://doritos_mk2/meshes/gripper_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/gripper_link.STL,,gripper-1,Coordinate System12,Axis_gripper_joint,gripper_joint,continuous,0.105731963309902,-0.114291838863073,0.000785814206828633,0,0,0,left_link_1,0.483798888777823,0.727148603602628,0.487025198009397,,,,,,,,,,,,
left_tip_link,-0.00321659274975095,-0.0113742629340172,5.55111512312578E-17,0,0,0,0.0122108352099973,2.12898781908147E-06,-5.12593703605801E-07,3.9104660491974E-21,1.09812966791197E-06,-1.59629005629444E-21,3.02360356682681E-06,0,0,0,0,0,0,package://doritos_mk2/meshes/left_tip_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/left_tip_link.STL,,left_tip-1,Coordinate System18,Axis_left_tip_joint,left_tip_joint,continuous,0.0474353275903836,-0.0419999138299398,0.0190308176469913,-3.14159109808288,-0.52359975420864,3.14159265358979,gripper_link,0,0,0.999999999993893,,,,,,,,,,,,
right_tip_link,0.00361579174547078,-0.0127029855345779,0.00120800981779368,0,0,0,0.0108947398917087,1.90097775103117E-06,4.57625496504311E-07,-1.15024015328759E-08,1.02085688721378E-06,4.04101924475998E-08,2.75059645888704E-06,0,0,0,0,0,0,package://doritos_mk2/meshes/right_tip_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/right_tip_link.STL,,right_tip-1,Coordinate System17,Axis_right_tip_joint,right_tip_joint,continuous,0.0239366360159801,-0.0419999371599868,0.0343298793945149,-3.1415916093844,-0.523599754209797,-3.14159163098849,gripper_link,0,0,0.999999999993893,,,,,,,,,,,,
stepper_link_2,-0.0441739782439768,0.000424233004006513,-0.0165926967126432,0,0,0,0.0370136582328562,3.11559697102952E-06,2.93620751592681E-07,-6.16763175139559E-07,3.36865552838303E-05,5.92319531301857E-09,3.50908182309218E-05,0,0,0,0,0,0,package://doritos_mk2/meshes/stepper_link_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/stepper_link_2.STL,,stepper_link-2,Coordinate System3,Axis_stepper_joint_2,stepper_joint_2,continuous,-0.0609999999999855,-0.0170000000000011,-0.0579999999999909,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
right_link_2,0.0531718770623258,-0.0568646967742479,0.000505729106871966,0,0,0,0.00965976520398288,2.5722874341266E-06,2.20100571867161E-06,8.68228383895112E-09,2.27626703003086E-06,-9.09457486142198E-09,4.673410221932E-06,0,0,0,0,0,0,package://doritos_mk2/meshes/right_link_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/right_link_2.STL,,lower_link-5,Coordinate System7,Axis_right_joint_22,right_joint_2,continuous,-0.0799963147746872,0.000768260462808534,0.0090308174478978,0,0,0,stepper_link_2,0.707854280258824,0.662800527501391,-0.244208473774231,,,,,,,,,,,,
buffer_link_2,1.56565316267177E-10,-2.86362267232221E-10,0.000159987489599445,0,0,0,0.00102265385859043,1.59789665404754E-08,0,4.1325973271096E-37,1.59789665404754E-08,0,1.59789665404754E-08,0,0,0,0,0,0,package://doritos_mk2/meshes/buffer_link_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/buffer_link_2.STL,,buffer-4,Coordinate System13,Axis_buffer_joint_2,buffer_joint_2,continuous,0.106338986520719,-0.113729275187162,-0.000439565694554944,0,0,0,right_link_2,0,1,0,,,,,,,,,,,,
left_link_2,0.0531670786738391,-0.0568645288799894,-0.000945294320995771,0,0,0,0.00965976661922167,2.57225679126701E-06,2.20100763187596E-06,8.68871745729538E-09,2.27629764545002E-06,-9.10131514189798E-09,4.67341004541302E-06,0,0,0,0,0,0,package://doritos_mk2/meshes/left_link_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/left_link_2.STL,,lower_link-2,Coordinate System8,Axis_left_joint_2,left_joint_2,continuous,-0.0799963145514557,0.000768264415718756,-0.0430308313919702,0,0,0,stepper_link_2,0.708407053008025,0.663306254390772,-0.241214137509744,,,,,,,,,,,,
buffer_link_3,3.59002716443513E-10,-1.36443079057358E-10,-0.0001599874896,0,0,0,0.00102265385859043,1.59789665404754E-08,0,4.1325973271096E-37,1.59789665404754E-08,0,1.59789665404754E-08,0,0,0,0,0,0,package://doritos_mk2/meshes/buffer_link_3.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/buffer_link_3.STL,,buffer-1,Coordinate System14,Axis_buffer_joint_3,buffer_joint_3,continuous,0.106338934772755,-0.113729185478581,-0.000439561584581249,0,0,0,left_link_2,0,1,0,,,,,,,,,,,,
dc_link,-0.0469103958201728,0.00243273224304286,-0.0105619401606405,0,0,0,0.0351771156349421,2.93507917104199E-06,1.32035538140574E-06,5.78444293557189E-08,3.00333752450836E-05,-2.8117907575628E-09,3.1711996549672E-05,0,0,0,0,0,0,package://doritos_mk2/meshes/dc_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/dc_link.STL,,dc_link-1,Coordinate System4,Axis_dc_joint,dc_joint,continuous,0.0213857162260318,0.0580896843192248,-0.0600000095102151,1.5707963267949,0,-2.09439510239319,base_link,0,0,1,,,,,,,,,,,,
right_link_3,0.0524820198652365,-0.0575014894596062,0.00055245228769385,0,0,0,0.00965973983571027,2.62522059724956E-06,2.19681080810797E-06,6.67352033718929E-09,2.22331884783331E-06,-7.31206604384961E-09,4.67342265927018E-06,0,0,0,0,0,0,package://doritos_mk2/meshes/right_link_3.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/right_link_3.STL,,lower_link-1,Coordinate System9,Axis_left_link_3,left_link_3,continuous,-0.0799807434244639,0.00404026335369112,0.0155065537352558,0,0,0,dc_link,0.046916018936789,0.0458239562511344,-0.997847208845431,,,,,,,,,,,,
buffer_link_4,1.56565649334084E-10,1.41684441956613E-10,0.000159987489599778,0,0,0,0.00102265385859043,1.59789665404754E-08,0,0,1.59789665404754E-08,4.70197740328915E-38,1.59789665404754E-08,0,0,0,0,0,0,package://doritos_mk2/meshes/buffer_link_4.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos_mk2/meshes/buffer_link_4.STL,,buffer-3,Coordinate System15,Axis_buffer_joint_4,buffer_joint_4,continuous,0.104962400256254,-0.115001150962942,-0.000346134894921191,0,0,0,right_link_3,0,1,0,,,,,,,,,,,,
