Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.0593521422625E-08,-8.42661840305681E-08,0.00790002884595331,0,0,0,0.309003513658323,0.000766890381512675,5.58847532795526E-10,-9.65631091350701E-11,0.00076688894254315,4.50550456438557E-11,0.00150930436863229,0,0,0,0,0,0,package://doritos/meshes/base_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos/meshes/base_link.STL,,ready_plate-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upper_1,0.0328480291045503,0.0100498824762653,-0.0106112302747938,0,0,0,0.0127656949358481,1.51817726252573E-06,-2.21451762777781E-06,7.88172101588101E-07,8.08446105732852E-06,2.40968114022457E-07,8.56469039127584E-06,0,0,0,0,0,0,package://doritos/meshes/upper_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos/meshes/upper_1.STL,,upper_link-3,Coordinate System2,Axis_rev_1,rev_1,continuous,-0.055911,-0.017234,0.023,1.5708,0,-2.618,base_link,0,0,1,,,,,,,,,,,,
right_1,-0.0489856869970038,0.0754472339163971,-0.00147226827610725,0,0,0,0.0071059183717293,4.52843937662123E-06,2.8742404742972E-06,-5.47709609144849E-08,1.96053278777817E-06,8.84140744189264E-08,6.43890262010603E-06,0,0,0,0,0,0,package://doritos/meshes/right_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos/meshes/right_1.STL,,lower_linkk-1,Coordinate System5,Axis_r_sphere_1,r_sphere_1,continuous,0.076673,0.022976,-0.0014997,0,0,0,upper_1,0.70301,0.44508,-0.55468,,,,,,,,,,,,
left_1,-0.0497145964961205,0.0749696941250675,-0.00143327539371696,0,0,0,0.00710591828992989,4.47248938676549E-06,2.89861618867103E-06,-5.41006373436835E-08,2.01639449974615E-06,8.55918743003149E-08,6.43899086676786E-06,0,0,0,0,0,0,package://doritos/meshes/left_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos/meshes/left_1.STL,,lower_linkk-2,Coordinate System6,Axis_l_sphere_1,l_sphere_1,continuous,0.076239,0.02393,-0.0245,0,0,0,upper_1,0.69841,0.45198,-0.55492,,,,,,,,,,,,
upper_2,-0.0328480230649131,-0.010049880625121,-0.0106112366574054,0,0,0,0.0127656950984725,1.51817641370884E-06,-2.21451547331946E-06,-7.88175293047432E-07,8.08445755585885E-06,-2.40969103695848E-07,8.5646858275893E-06,0,0,0,0,0,0,package://doritos/meshes/upper_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos/meshes/upper_2.STL,,upper_link-1,Coordinate System3,Axis_rev_2,rev_2,continuous,0.042881,-0.039803,0.023,-1.5708,0,2.618,base_link,0,0,1,,,,,,,,,,,,
right_2,0.0489857125435977,-0.0754472201599349,-0.00147225833459808,0,0,0,0.00710592124076721,4.52843767130364E-06,2.87424135280491E-06,5.47714974777083E-08,1.96053475117648E-06,-8.84148469041546E-08,6.43890278411291E-06,0,0,0,0,0,0,package://doritos/meshes/right_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos/meshes/right_2.STL,,lower_linkk-3,Coordinate System7,Axis_r_sphere_2,r_sphere_2,continuous,-0.076673,-0.022976,-0.0014997,0,0,0,upper_2,0.33467,0.23487,-0.9126,,,,,,,,,,,,
left_2,0.0496354836544772,-0.0750220163559944,-0.00143751752650134,0,0,0,0.00710591746831051,4.47248739864575E-06,2.89861699977625E-06,5.41002903515971E-08,2.01639646780455E-06,-8.55912883851399E-08,6.4389908204482E-06,0,0,0,0,0,0,package://doritos/meshes/left_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos/meshes/left_2.STL,,lower_linkk-4,Coordinate System8,Axis_l_sphere_2,l_sphere_2,continuous,-0.076239,-0.02393,-0.0245,0,0,0,upper_2,0.33223,0.23753,-0.9128,,,,,,,,,,,,
upper_3,0.0328480258041284,0.0100498874223419,-0.0106112431583106,0,0,0,0.0127656949799107,1.51817820273561E-06,-2.21451837116928E-06,7.88178881590604E-07,8.08445954395139E-06,2.40970481916451E-07,8.56468907992422E-06,0,0,0,0,0,0,package://doritos/meshes/upper_3.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos/meshes/upper_3.STL,,upper_link-2,Coordinate System4,Axis_rev_3,rev_3,continuous,0.01303,0.057037,0.023,1.5708,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
right_3,-0.0489060879529677,0.07549877693586,-0.00147651668624893,0,0,0,0.00710591836640399,4.52843614777301E-06,2.87424206289566E-06,-5.47711375827628E-08,1.96053606999219E-06,8.84142014191114E-08,6.43890267616684E-06,0,0,0,0,0,0,package://doritos/meshes/right_3.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos/meshes/right_3.STL,,lower_linkk-6,Coordinate System9,Axis_r_sphere_3,r_sphere_3,continuous,0.076673,0.022976,-0.0014997,0,0,0,upper_3,0.79662,0.52256,0.30386,,,,,,,,,,,,
left_3,-0.0496354937123868,0.075022010670718,-0.00143753924664602,0,0,0,0.00710591839982534,4.47248671711069E-06,2.89861748166093E-06,-5.41008260623705E-08,2.01639723758302E-06,8.5592037390335E-08,6.43899093516694E-06,0,0,0,0,0,0,package://doritos/meshes/left_3.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://doritos/meshes/left_3.STL,,lower_linkk-5,Coordinate System10,Axis_l_sphere_3,l_sphere_3,continuous,0.076239,0.02393,-0.0245,0,0,0,upper_3,0.79147,0.53007,0.3043,,,,,,,,,,,,
